timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1644843921, ,3.2999999523,3.5,3.2000000477,6.5,3.2999999523,5,3.2999999523,0,3.5,5.8000001907,3.4000000954,3.4000000954,3.2999999523
1644843922, ,3.4000000954,3.0999999046,3.2000000477,6.5,3.2999999523,5,3.2999999523,0,3.5,5.8000001907,3.5999999046,3.5,3.2999999523
1644843923, ,3.4000000954,3.0999999046,3.2000000477,5.4000000954,3.5,5,3.5,0,3.5,5.8000001907,3.5999999046,3.5,3.2999999523
1644843924, ,3.4000000954,3.0999999046,3.2000000477,5.4000000954,3.5,5,3.5,0,3.2999999523,5.9000000954,3.5,3.2000000477,3.5
1644843925, ,3.5,3.4000000954,3.2000000477,5.5,3.2999999523,6,3.5,0,3.2999999523,5.9000000954,3.5,3.2000000477,3.5
1644843926, ,3.5,3.4000000954,3.2000000477,5.5,3.2999999523,6,3.5,0,3.2999999523,5.9000000954,3.5,3.2000000477,3.5
1644843927, ,3.5,3.4000000954,3.2000000477,5.5,3.2999999523,6,3.5,0,3.4000000954,5.6999998093,3.4000000954,3,3.5
1644843928, ,3.2999999523,3.4000000954,3.2000000477,5.5,3.2999999523,6,3.5,0,3.4000000954,5.6999998093,3.4000000954,3,3.5
1644843929, ,3.2999999523,3.4000000954,3.2000000477,4.8000001907,3.5,5.8000001907,3.4000000954,0,3.5,5.9000000954,3.4000000954,3,3.5
1644843930, ,3.2999999523,3.4000000954,3.2000000477,4.8000001907,3.5,5.8000001907,3.4000000954,0,3.5,5.9000000954,3.4000000954,3,3.5
1644843931, ,3.4000000954,3.2999999523,3.2999999523,5.8000001907,3.5,5,3.5,0,3.5,5.9000000954,3.4000000954,3,3.4000000954
1644843932, ,3.4000000954,3.2999999523,3.2999999523,5.8000001907,3.5,5,3.5,0,3.2999999523,5.8000001907,3.4000000954,3,3.4000000954
1644843933, ,3.4000000954,3.2999999523,3.2999999523,5.8000001907,3.5,5,3.5,0,3.2999999523,5.8000001907,3.4000000954,3,3.4000000954
1644843934, ,3.2999999523,3.5,3.2000000477,5.3000001907,3.2999999523,6.1999998093,3.4000000954,0,3.2999999523,5.8000001907,3.4000000954,2.9000000954,3.4000000954
1644843935, ,3.2999999523,3.5,3.2000000477,5.3000001907,3.2999999523,6.1999998093,3.4000000954,0,3.4000000954,5.5999999046,3.4000000954,2.9000000954,3.4000000954
1644843936, ,3.2999999523,3.5,3.2000000477,5.3000001907,3.2999999523,6.1999998093,3.4000000954,0,3.4000000954,5.5999999046,3.4000000954,3.4000000954,3.2000000477
1644843937, ,3.4000000954,3.5,3.2000000477,5,3.5,6.1999998093,3.4000000954,0,3.4000000954,5.5999999046,3.4000000954,3.4000000954,3.2000000477
1644843938, ,3.4000000954,3.5,3.2000000477,5,3.5,6.1999998093,3.4000000954,0,3.4000000954,5.5999999046,3.4000000954,3.4000000954,3.2000000477
1644843939, ,3.4000000954,3.5,3.2000000477,5,3.5,6.1999998093,3.4000000954,0,3.5,5.8000001907,3.7000000477,3.2999999523,3.4000000954
1644843940, ,3.4000000954,3.4000000954,3.0999999046,4,3.4000000954,4.9000000954,3.4000000954,0,3.5,5.8000001907,3.7000000477,3.2999999523,3.4000000954
1644843941, ,3.4000000954,3.4000000954,3.0999999046,4,3.4000000954,4.9000000954,3.4000000954,0,3.5,5.8000001907,3.7000000477,3.2999999523,3.4000000954
1644843942, ,3.4000000954,3.4000000954,3.0999999046,4,3.4000000954,4.9000000954,3.4000000954,0,3.2999999523,5.8000001907,3.5,3.2999999523,3.4000000954
1644843943, ,3.2999999523,3.4000000954,3.2999999523,4.4000000954,3.4000000954,4.9000000954,3.4000000954,0,3.2999999523,5.8000001907,3.5,3.2999999523,3.4000000954
1644843944, ,3.2999999523,3.4000000954,3.2999999523,4.4000000954,3.2999999523,5,3.7000000477,0,3.2999999523,5.8000001907,3.5,3.2999999523,3.4000000954
1644843945, ,3.2999999523,3.4000000954,3.2999999523,4.4000000954,3.2999999523,5,3.7000000477,0,3.5,5.8000001907,3.2000000477,3.0999999046,3.4000000954
