Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107
1646005662,6318,24.7000000477,3.4000000954,3.5999999046,3.5,3.5999999046,3.7999999523,3.4000000954,3.4000000954
1646005663,6319,24.7000000477,3.4000000954,3.5999999046,3.5,3.5999999046,3.7999999523,3.4000000954,3.4000000954
1646005664,6320,24.7999999523,3.4000000954,3.5999999046,3.5,3.5999999046,3.7999999523,3.4000000954,3.5
1646005665,6321,24.6000001431,3.4000000954,3.5,3.4000000954,3.5999999046,3.7999999523,3.4000000954,3.5
1646005666,6322,24.3000001908,3.4000000954,3.5,3.4000000954,3.5,3.5,3.5,3.5
1646005667,6323,24.2000002862,3.4000000954,3.5,3.4000000954,3.5,3.5,3.5,3.4000000954
1646005668,6324,23.6000001431,3.0999999046,3.4000000954,3.2999999523,3.4000000954,3.5,3.5,3.4000000954
1646005669,6325,23.5000002385,3.0999999046,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954
1646005670,6326,25.1000001431,3.4000000954,3.5999999046,3.9000000954,3.7000000477,3.4000000954,3.5,3.5999999046
1646005671,6327,25.1000001431,3.4000000954,3.5999999046,3.9000000954,3.7000000477,3.4000000954,3.5,3.5999999046
1646005672,6328,25.0000002385,3.4000000954,3.5999999046,3.9000000954,3.7000000477,3.4000000954,3.4000000954,3.5999999046
1646005673,6329,24.3000001908,3.4000000954,3.5,3.5,3.4000000954,3.5,3.5,3.5
1646005674,6330,24.3000001908,3.4000000954,3.5,3.5,3.4000000954,3.5,3.5,3.5
1646005675,6331,24.3000001908,3.4000000954,3.5,3.5,3.4000000954,3.5,3.5,3.5
1646005676,6332,24.0999999046,3.2999999523,3.5999999046,3.5,3.5,3.4000000954,3.5,3.2999999523
1646005677,6333,24.0999999046,3.2999999523,3.5999999046,3.5,3.5,3.4000000954,3.5,3.2999999523
1646005678,6334,24.0999999046,3.2999999523,3.5999999046,3.5,3.5,3.4000000954,3.5,3.2999999523
1646005679,6335,24,3.2000000477,3.5999999046,3.5,3.5,3.4000000954,3.5,3.2999999523
1646005680,6336,23.7000000477,3.2000000477,3.5999999046,3.2999999523,3.4000000954,3.5,3.4000000954,3.2999999523
1646005681,6337,23.8000001908,3.2000000477,3.5999999046,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954
1646005682,6338,24.0000002385,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.5,3.4000000954,3.4000000954
1646005683,6339,24.2000000477,3.4000000954,3.5999999046,3.5,3.5,3.2999999523,3.5,3.4000000954
1646005684,6340,24.1000001431,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523,3.5,3.4000000954
1646005685,6341,24.000000477,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954
1646005686,6342,24.000000477,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954
1646005687,6343,24.000000477,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954
1646005688,6344,23.7000000477,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954
1646005689,6345,23.7000000477,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954
1646005690,6346,24.4000000954,4,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954
1646005691,6347,24.4000000954,4,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954
1646005692,6348,24.4000000954,4,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954
1646005693,6349,24.4000000954,4,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954
1646005694,6350,24.1000001431,3.5,3.5999999046,3.4000000954,3.5,3.4000000954,3.2999999523,3.4000000954
1646005695,6351,24.1000001431,3.5,3.5999999046,3.4000000954,3.5,3.4000000954,3.2999999523,3.4000000954
1646005696,6352,24.2000000477,3.5,3.5999999046,3.4000000954,3.5,3.4000000954,3.2999999523,3.5
1646005697,6353,24.2999999523,3.4000000954,3.5,3.5,3.2999999523,3.5,3.5999999046,3.5
1646005698,6354,24.2999999523,3.4000000954,3.5,3.5,3.2999999523,3.5,3.5999999046,3.5
1646005699,6355,23.6000001431,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2000000477
1646005700,6356,23.6000001431,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2000000477
1646005701,6357,23.6000001431,3.2999999523,3.5999999046,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2000000477
1646005702,6358,24.1000001431,3.5999999046,3.5,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5
1646005703,6359,24.6000001431,3.5999999046,3.5,3.4000000954,3.9000000954,3.2999999523,3.4000000954,3.5
1646005704,6360,24.5000002385,3.4000000954,3.5999999046,3.5,3.9000000954,3.2999999523,3.4000000954,3.4000000954
1646005705,6361,24.9000000954,3.4000000954,3.5999999046,3.5,4,3.5,3.5,3.4000000954
1646005706,6362,24.9000000954,3.4000000954,3.5999999046,3.5,4,3.5,3.5,3.4000000954
1646005707,6363,23.9000000954,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.5,3.4000000954
1646005708,6364,23.9000000954,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.5,3.4000000954
1646005709,6365,23.9000000954,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.5,3.4000000954
1646005710,6366,23.7999999523,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.5,3.2999999523
1646005711,6367,23.8000001908,3.2000000477,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523
1646005712,6368,23.8000001908,3.2000000477,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523
1646005713,6369,23.9000003339,3.2000000477,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954
1646005714,6370,24.0999999046,3.5,3.5999999046,3.2999999523,3.5,3.2999999523,3.5,3.4000000954
1646005715,6371,24.0999999046,3.5,3.5999999046,3.2999999523,3.5,3.2999999523,3.5,3.4000000954
1646005716,6372,24.1999998092,3.5,3.5999999046,3.2999999523,3.5,3.2999999523,3.5,3.5
1646005717,6373,24.0000002385,3.5,3.2000000477,3.4000000954,3.7000000477,3.4000000954,3.2999999523,3.5
1646005718,6374,23.8000001908,3.5,3.2000000477,3.4000000954,3.7000000477,3.4000000954,3.2999999523,3.2999999523
1646005719,6375,23.9000000954,3.4000000954,3.2000000477,3.4000000954,3.5,3.5999999046,3.5,3.2999999523
1646005720,6376,23.9000000954,3.4000000954,3.2000000477,3.4000000954,3.5,3.5999999046,3.5,3.2999999523
1646005721,6377,24.2999999523,3.4000000954,3.5999999046,3.4000000954,3.5,3.5999999046,3.5,3.2999999523
1646005722,6378,23.7000000477,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.2999999523
