Timestamp,Time,Total_energy,192.168.5.101
1645786867,14053,4.3000001907,4.3000001907
1645786868,14054,4.3000001907,4.3000001907
1645786869,14055,4.3000001907,4.3000001907
1645786870,14056,4.0999999046,4.0999999046
1645786871,14057,4.0999999046,4.0999999046
1645786872,14058,4.0999999046,4.0999999046
1645786873,14059,4.5,4.5
1645786874,14060,4.5,4.5
1645786875,14061,4.5,4.5
1645786876,14062,4.3000001907,4.3000001907
1645786877,14063,4.1999998093,4.1999998093
1645786878,14064,4.1999998093,4.1999998093
1645786879,14065,4.1999998093,4.1999998093
1645786880,14066,4.1999998093,4.1999998093
1645786881,14067,4.4000000954,4.4000000954
1645786882,14068,4.4000000954,4.4000000954
1645786883,14069,4.4000000954,4.4000000954
1645786884,14070,4.3000001907,4.3000001907
1645786885,14071,4.3000001907,4.3000001907
1645786886,14072,4.3000001907,4.3000001907
1645786887,14073,4.4000000954,4.4000000954
1645786888,14074,4.4000000954,4.4000000954
1645786889,14075,4.4000000954,4.4000000954
1645786890,14076,4.4000000954,4.4000000954
1645786891,14077,4.4000000954,4.4000000954
1645786892,14078,4.4000000954,4.4000000954
1645786893,14079,5.3000001907,5.3000001907
1645786894,14080,5.3000001907,5.3000001907
1645786895,14081,5.3000001907,5.3000001907
1645786896,14082,4.4000000954,4.4000000954
1645786897,14083,4.4000000954,4.4000000954
1645786898,14084,4.3000001907,4.3000001907
1645786899,14085,4.3000001907,4.3000001907
1645786900,14086,4.4000000954,4.4000000954
1645786901,14087,4.4000000954,4.4000000954
1645786902,14088,4.4000000954,4.4000000954
1645786903,14089,4.4000000954,4.4000000954
1645786904,14090,4.0999999046,4.0999999046
1645786905,14091,4.0999999046,4.0999999046
1645786906,14092,4.5,4.5
1645786907,14093,4.5,4.5
1645786908,14094,4.5,4.5
1645786909,14095,4.5,4.5
1645786910,14096,4.4000000954,4.4000000954
1645786911,14097,4.4000000954,4.4000000954
1645786912,14098,4.4000000954,4.4000000954
1645786913,14099,4.4000000954,4.4000000954
1645786914,14100,4.4000000954,4.4000000954
1645786915,14101,4.4000000954,4.4000000954
1645786916,14102,4.4000000954,4.4000000954
1645786917,14103,4.3000001907,4.3000001907
1645786918,14104,4.3000001907,4.3000001907
1645786919,14105,4.3000001907,4.3000001907
1645786920,14106,4.3000001907,4.3000001907
1645786921,14107,4.1999998093,4.1999998093
1645786922,14108,4.1999998093,4.1999998093
1645786923,14109,5.5999999046,5.5999999046
1645786924,14110,5.5999999046,5.5999999046
1645786925,14111,5.5999999046,5.5999999046
1645786926,14112,5.5999999046,5.5999999046
1645786927,14113,5.6999998093,5.6999998093
1645786928,14114,5.6999998093,5.6999998093
1645786929,14115,5.6999998093,5.6999998093
1645786930,14116,5.0999999046,5.0999999046
1645786931,14117,5.0999999046,5.0999999046
1645786932,14118,5.1999998093,5.1999998093
1645786933,14119,5.1999998093,5.1999998093
1645786934,14120,5.1999998093,5.1999998093
1645786935,14121,4.3000001907,4.3000001907
1645786936,14122,4.3000001907,4.3000001907
1645786937,14123,4.3000001907,4.3000001907
1645786938,14124,4.3000001907,4.3000001907
1645786939,14125,4.4000000954,4.4000000954
1645786940,14126,4.4000000954,4.4000000954
1645786941,14127,4.4000000954,4.4000000954
1645786942,14128,4.4000000954,4.4000000954
1645786943,14129,4.4000000954,4.4000000954
1645786944,14130,4.0999999046,4.0999999046
1645786945,14131,4.0999999046,4.0999999046
1645786946,14132,4.4000000954,4.4000000954
1645786947,14133,4.4000000954,4.4000000954
1645786948,14134,4.4000000954,4.4000000954
1645786949,14135,4.4000000954,4.4000000954
1645786950,14136,4.1999998093,4.1999998093
1645786951,14137,4.1999998093,4.1999998093
1645786952,14138,4.1999998093,4.1999998093
1645786953,14139,4.3000001907,4.3000001907
1645786954,14140,4.3000001907,4.3000001907
1645786955,14141,4.3000001907,4.3000001907
1645786956,14142,4.3000001907,4.3000001907
1645786957,14143,4.3000001907,4.3000001907
1645786958,14144,4.3000001907,4.3000001907
1645786959,14145,4.4000000954,4.4000000954
1645786960,14146,4.4000000954,4.4000000954
1645786961,14147,4.4000000954,4.4000000954
1645786962,14148,4.4000000954,4.4000000954
1645786963,14149,4.4000000954,4.4000000954
1645786964,14150,4.4000000954,4.4000000954
1645786965,14151,4.4000000954,4.4000000954
1645786966,14152,4.4000000954,4.4000000954
1645786967,14153,4.4000000954,4.4000000954
1645786968,14154,4.4000000954,4.4000000954
1645786969,14155,4.4000000954,4.4000000954
1645786970,14156,4.4000000954,4.4000000954
1645786971,14157,4.4000000954,4.4000000954
1645786972,14158,4.4000000954,4.4000000954
1645786973,14159,4.3000001907,4.3000001907
1645786974,14160,4.3000001907,4.3000001907
1645786975,14161,4.3000001907,4.3000001907
1645786976,14162,4.3000001907,4.3000001907
1645786977,14163,4.3000001907,4.3000001907
1645786978,14164,4.3000001907,4.3000001907
1645786979,14165,4.3000001907,4.3000001907
1645786980,14166,4.3000001907,4.3000001907
1645786981,14167,4.3000001907,4.3000001907
1645786982,14168,4.3000001907,4.3000001907
1645786983,14169,4.3000001907,4.3000001907
1645786984,14170,5.0999999046,5.0999999046
1645786985,14171,5.0999999046,5.0999999046
1645786986,14172,5.0999999046,5.0999999046
1645786987,14173,4.8000001907,4.8000001907
1645786988,14174,4.8000001907,4.8000001907
1645786989,14175,4.8000001907,4.8000001907
1645786990,14176,4.9000000954,4.9000000954
1645786991,14177,4.9000000954,4.9000000954
1645786992,14178,4.9000000954,4.9000000954
1645786993,14179,4.4000000954,4.4000000954
1645786994,14180,4.4000000954,4.4000000954
1645786995,14181,4.4000000954,4.4000000954
1645786996,14182,4.9000000954,4.9000000954
1645786997,14183,4.9000000954,4.9000000954
1645786998,14184,4.9000000954,4.9000000954
1645786999,14185,4.6999998093,4.6999998093
1645787000,14186,4.6999998093,4.6999998093
1645787001,14187,5.5,5.5
1645787002,14188,5.5,5.5
1645787003,14189,5.5,5.5
1645787004,14190,5.3000001907,5.3000001907
1645787005,14191,5.3000001907,5.3000001907
1645787006,14192,5.6999998093,5.6999998093
1645787007,14193,5.6999998093,5.6999998093
1645787008,14194,5.6999998093,5.6999998093
1645787009,14195,5.5,5.5
1645787010,14196,5.5,5.5
1645787011,14197,5.5,5.5
1645787012,14198,5.8000001907,5.8000001907
1645787013,14199,5.8000001907,5.8000001907
1645787014,14200,5.8000001907,5.8000001907
1645787015,14201,5.8000001907,5.8000001907
1645787016,14202,6,6
1645787017,14203,6,6
1645787018,14204,6,6
1645787019,14205,5.8000001907,5.8000001907
1645787020,14206,5.8000001907,5.8000001907
1645787021,14207,5.5999999046,5.5999999046
1645787022,14208,5.5999999046,5.5999999046
1645787023,14209,5.5999999046,5.5999999046
1645787024,14210,5.4000000954,5.4000000954
1645787025,14211,5.4000000954,5.4000000954
1645787026,14212,5.4000000954,5.4000000954
1645787027,14213,5.4000000954,5.4000000954
1645787028,14214,5.4000000954,5.4000000954
1645787029,14215,5.8000001907,5.8000001907
1645787030,14216,5.8000001907,5.8000001907
1645787031,14217,5.8000001907,5.8000001907
1645787032,14218,5.8000001907,5.8000001907
1645787033,14219,5.0999999046,5.0999999046
1645787034,14220,5.0999999046,5.0999999046
1645787035,14221,5.0999999046,5.0999999046
1645787036,14222,5.5,5.5
1645787037,14223,5.5,5.5
1645787038,14224,5.5,5.5
1645787039,14225,5.8000001907,5.8000001907
1645787040,14226,5.0999999046,5.0999999046
1645787041,14227,5.0999999046,5.0999999046
1645787042,14228,5.0999999046,5.0999999046
1645787043,14229,5.0999999046,5.0999999046
1645787044,14230,5.5999999046,5.5999999046
1645787045,14231,5.5999999046,5.5999999046
1645787046,14232,5.5999999046,5.5999999046
1645787047,14233,5.3000001907,5.3000001907
1645787048,14234,5.3000001907,5.3000001907
1645787049,14235,5.3000001907,5.3000001907
1645787050,14236,5.5,5.5
1645787051,14237,5.5,5.5
1645787052,14238,5.4000000954,5.4000000954
1645787053,14239,5.4000000954,5.4000000954
1645787054,14240,5.4000000954,5.4000000954
1645787055,14241,5.4000000954,5.4000000954
1645787056,14242,5.5999999046,5.5999999046
1645787057,14243,5.5999999046,5.5999999046
1645787058,14244,5.5999999046,5.5999999046
1645787059,14245,5.5999999046,5.5999999046
1645787060,14246,5.5999999046,5.5999999046
1645787061,14247,5.8000001907,5.8000001907
1645787062,14248,5.8000001907,5.8000001907
1645787063,14249,5.8000001907,5.8000001907
1645787064,14250,5.1999998093,5.1999998093
1645787065,14251,5.1999998093,5.1999998093
1645787066,14252,5.1999998093,5.1999998093
1645787067,14253,5.5,5.5
1645787068,14254,5.5,5.5
1645787069,14255,5.5,5.5
1645787070,14256,5.6999998093,5.6999998093
1645787071,14257,5.6999998093,5.6999998093
1645787072,14258,5.6999998093,5.6999998093
1645787073,14259,5.0999999046,5.0999999046
1645787074,14260,5.0999999046,5.0999999046
1645787075,14261,5.5,5.5
1645787076,14262,5.5,5.5
1645787077,14263,5.5,5.5
1645787078,14264,5.9000000954,5.9000000954
1645787079,14265,5.9000000954,5.9000000954
1645787080,14266,5.9000000954,5.9000000954
1645787081,14267,5.9000000954,5.9000000954
1645787082,14268,5.3000001907,5.3000001907
1645787083,14269,5.3000001907,5.3000001907
1645787084,14270,5,5
1645787085,14271,5,5
1645787086,14272,5,5
1645787087,14273,5.5999999046,5.5999999046
1645787088,14274,5.5999999046,5.5999999046
1645787089,14275,5.5999999046,5.5999999046
1645787090,14276,5.1999998093,5.1999998093
1645787091,14277,5.1999998093,5.1999998093
1645787092,14278,5.1999998093,5.1999998093
1645787093,14279,5.6999998093,5.6999998093
1645787094,14280,5.6999998093,5.6999998093
1645787095,14281,5.6999998093,5.6999998093
1645787096,14282,6.0999999046,6.0999999046
1645787097,14283,6.0999999046,6.0999999046
1645787098,14284,5.9000000954,5.9000000954
1645787099,14285,5.9000000954,5.9000000954
1645787100,14286,5.9000000954,5.9000000954
1645787101,14287,5.9000000954,5.9000000954
1645787102,14288,5.5,5.5
1645787103,14289,5.3000001907,5.3000001907
1645787104,14290,5.3000001907,5.3000001907
1645787105,14291,5.3000001907,5.3000001907
1645787106,14292,5.3000001907,5.3000001907
1645787107,14293,5.8000001907,5.8000001907
1645787108,14294,5.8000001907,5.8000001907
1645787109,14295,5.8000001907,5.8000001907
1645787110,14296,5.4000000954,5.4000000954
1645787111,14297,5.4000000954,5.4000000954
1645787112,14298,5.4000000954,5.4000000954
1645787113,14299,5.1999998093,5.1999998093
1645787114,14300,5.1999998093,5.1999998093
1645787115,14301,5.1999998093,5.1999998093
1645787116,14302,4.9000000954,4.9000000954
1645787117,14303,4.9000000954,4.9000000954
1645787118,14304,4.9000000954,4.9000000954
1645787119,14305,4.9000000954,4.9000000954
1645787120,14306,4.9000000954,4.9000000954
1645787121,14307,5,5
1645787122,14308,5,5
1645787123,14309,4.9000000954,4.9000000954
1645787124,14310,4.9000000954,4.9000000954
1645787125,14311,4.9000000954,4.9000000954
1645787126,14312,4.9000000954,4.9000000954
1645787127,14313,4.8000001907,4.8000001907
1645787128,14314,4.8000001907,4.8000001907
1645787129,14315,4.9000000954,4.9000000954
1645787130,14316,4.9000000954,4.9000000954
1645787131,14317,4.9000000954,4.9000000954
1645787132,14318,4.9000000954,4.9000000954
1645787133,14319,5.1999998093,5.1999998093
1645787134,14320,5.1999998093,5.1999998093
1645787135,14321,5.1999998093,5.1999998093
1645787136,14322,4.9000000954,4.9000000954
1645787137,14323,4.9000000954,4.9000000954
1645787138,14324,4.9000000954,4.9000000954
1645787139,14325,4.8000001907,4.8000001907
1645787140,14326,4.8000001907,4.8000001907
1645787141,14327,4.9000000954,4.9000000954
1645787142,14328,4.9000000954,4.9000000954
1645787143,14329,4.9000000954,4.9000000954
1645787144,14330,5,5
1645787145,14331,5,5
1645787146,14332,5,5
1645787147,14333,5.1999998093,5.1999998093
1645787148,14334,5.1999998093,5.1999998093
1645787149,14335,5.1999998093,5.1999998093
1645787150,14336,4.9000000954,4.9000000954
1645787151,14337,4.9000000954,4.9000000954
1645787152,14338,4.9000000954,4.9000000954
1645787153,14339,4.9000000954,4.9000000954
1645787154,14340,4.9000000954,4.9000000954
1645787155,14341,4.9000000954,4.9000000954
1645787156,14342,4.9000000954,4.9000000954
1645787157,14343,4.9000000954,4.9000000954
1645787158,14344,4.9000000954,4.9000000954
1645787159,14345,5.5999999046,5.5999999046
1645787160,14346,5.5999999046,5.5999999046
1645787161,14347,5.5999999046,5.5999999046
1645787162,14348,5.5,5.5
1645787163,14349,5.5,5.5
1645787164,14350,5.1999998093,5.1999998093
1645787165,14351,5.1999998093,5.1999998093
1645787166,14352,5.1999998093,5.1999998093
1645787167,14353,5.5,5.5
1645787168,14354,5.5,5.5
1645787169,14355,5.5,5.5
1645787170,14356,5.0999999046,5.0999999046
1645787171,14357,5.0999999046,5.0999999046
1645787172,14358,5.0999999046,5.0999999046
1645787173,14359,5.5999999046,5.5999999046
1645787174,14360,5.5999999046,5.5999999046
1645787175,14361,5.5999999046,5.5999999046
1645787176,14362,5.3000001907,5.3000001907
1645787177,14363,5.3000001907,5.3000001907
1645787178,14364,5.3000001907,5.3000001907
1645787179,14365,5.4000000954,5.4000000954
1645787180,14366,5.4000000954,5.4000000954
1645787181,14367,5.4000000954,5.4000000954
1645787182,14368,5.4000000954,5.4000000954
1645787183,14369,5.4000000954,5.4000000954
1645787184,14370,5.4000000954,5.4000000954
1645787185,14371,5.4000000954,5.4000000954
1645787186,14372,5.4000000954,5.4000000954
1645787187,14373,5.4000000954,5.4000000954
1645787188,14374,5.4000000954,5.4000000954
1645787189,14375,5.4000000954,5.4000000954
1645787190,14376,5.6999998093,5.6999998093
1645787191,14377,5.6999998093,5.6999998093
1645787192,14378,5.6999998093,5.6999998093
1645787193,14379,5.5,5.5
1645787194,14380,5.5,5.5
