Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105
1645961260,6863,17.0999999046,3.5,3.5999999046,3.2000000477,3.5999999046,3.2000000477
1645961261,6864,17.0999999046,3.5,3.5999999046,3.2000000477,3.5999999046,3.2000000477
1645961262,6865,16.8000001908,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2999999523
1645961263,6866,16.8000001908,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2999999523
1645961264,6867,17.4000000954,3.4000000954,3.5999999046,3.5,3.5,3.4000000954
1645961265,6868,17.4000000954,3.4000000954,3.5999999046,3.5,3.5,3.4000000954
1645961266,6869,17.4000000954,3.4000000954,3.5999999046,3.5,3.5,3.4000000954
1645961267,6870,17.9000000954,3.4000000954,3.5999999046,3.4000000954,3.5999999046,3.9000000954
1645961268,6871,17.9000000954,3.4000000954,3.5999999046,3.4000000954,3.5999999046,3.9000000954
1645961269,6872,17.9000000954,3.4000000954,3.5999999046,3.4000000954,3.5999999046,3.9000000954
1645961270,6873,17.1000001431,3.2999999523,3.5,3.4000000954,3.5,3.4000000954
1645961271,6874,17.1000001431,3.2999999523,3.5,3.4000000954,3.5,3.4000000954
1645961272,6875,17.1000001431,3.2999999523,3.5,3.4000000954,3.5,3.4000000954
1645961273,6876,17.1000001431,3.2999999523,3.5,3.4000000954,3.5,3.4000000954
1645961274,6877,16.7000000477,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523
1645961275,6878,16.7000000477,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523
1645961276,6879,16.7000000477,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.2999999523
1645961277,6880,17.0999999046,3.5,3.5999999046,3.2000000477,3.5,3.2999999523
1645961278,6881,17.0999999046,3.5,3.5999999046,3.2000000477,3.5,3.2999999523
1645961279,6882,17.3999998569,3.2999999523,3.5999999046,3.4000000954,3.5999999046,3.5
1645961280,6883,17.3999998569,3.2999999523,3.5999999046,3.4000000954,3.5999999046,3.5
1645961281,6884,17.3999998569,3.2999999523,3.5999999046,3.4000000954,3.5999999046,3.5
1645961282,6885,17.3000001908,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.7999999523
1645961283,6886,17.3000001908,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.7999999523
1645961284,6887,17.3000001908,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.7999999523
