Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104
1645952818,7155,13.8000001908,3.2000000477,3.5,3.7000000477,3.4000000954
1645952819,7156,13.8000001908,3.2000000477,3.5,3.7000000477,3.4000000954
1645952820,7157,13.8000001908,3.2000000477,3.5,3.7000000477,3.4000000954
1645952821,7158,13.8000001908,3.2000000477,3.5,3.7000000477,3.4000000954
1645952822,7159,13.4000000954,3.2999999523,3.2999999523,3.4000000954,3.4000000954
1645952823,7160,13.4000000954,3.2999999523,3.2999999523,3.4000000954,3.4000000954
1645952824,7161,13.6000001431,3.2999999523,3.4000000954,3.4000000954,3.5
1645952825,7162,13.6000001431,3.2999999523,3.4000000954,3.4000000954,3.5
1645952826,7163,13.7000000477,3.2000000477,3.5999999046,3.4000000954,3.5
1645952827,7164,13.9999997615,3.2000000477,3.5999999046,3.5999999046,3.5999999046
1645952828,7165,13.9999997615,3.2000000477,3.5999999046,3.5999999046,3.5999999046
1645952829,7166,13.9999997615,3.2000000477,3.5999999046,3.5999999046,3.5999999046
1645952830,7167,13.6000001431,3.2000000477,3.5999999046,3.4000000954,3.4000000954
1645952831,7168,13.6000001431,3.2000000477,3.5999999046,3.4000000954,3.4000000954
1645952832,7169,13.9000000954,3.5,3.5,3.5,3.4000000954
1645952833,7170,13.9000000954,3.5,3.5,3.5,3.4000000954
1645952834,7171,13.9000000954,3.5,3.5,3.5,3.4000000954
1645952835,7172,13.9000000954,3.5,3.5,3.5,3.4000000954
1645952836,7173,13.9000000954,3.5,3.5,3.4000000954,3.5
1645952837,7174,13.9000000954,3.5,3.5,3.4000000954,3.5
1645952838,7175,13.9000000954,3.4000000954,3.5999999046,3.4000000954,3.5
1645952839,7176,13.9000000954,3.4000000954,3.5999999046,3.4000000954,3.5
1645952840,7177,13.9000000954,3.4000000954,3.5999999046,3.4000000954,3.5
1645952841,7178,13.9000000954,3.4000000954,3.5999999046,3.4000000954,3.5
1645952842,7179,13.5000002385,3.2000000477,3.5,3.4000000954,3.4000000954
1645952843,7180,13.5000002385,3.2000000477,3.5,3.4000000954,3.4000000954
1645952844,7181,13.5999999046,3.5,3.2999999523,3.2999999523,3.5
1645952845,7182,13.5999999046,3.5,3.2999999523,3.2999999523,3.5
1645952846,7183,13.5999999046,3.5,3.2999999523,3.2999999523,3.5
1645952847,7184,13.6000001431,3.4000000954,3.4000000954,3.2999999523,3.5
1645952848,7185,13.9000000954,3.4000000954,3.4000000954,3.5,3.5999999046
1645952849,7186,13.9000000954,3.4000000954,3.4000000954,3.5,3.5999999046
1645952850,7187,13.7000000477,3.2999999523,3.5,3.5,3.4000000954
1645952851,7188,13.7000000477,3.2999999523,3.5,3.5,3.4000000954
1645952852,7189,13.7000000477,3.2999999523,3.5,3.5,3.4000000954
1645952853,7190,13.4000000954,3.2000000477,3.5,3.2999999523,3.4000000954
1645952854,7191,13.4000000954,3.2000000477,3.5,3.2999999523,3.4000000954
1645952855,7192,13.9999997615,3.5,3.5999999046,3.2999999523,3.5999999046
1645952856,7193,13.9999997615,3.5,3.5999999046,3.2999999523,3.5999999046
1645952857,7194,13.9999997615,3.5,3.5999999046,3.2999999523,3.5999999046
1645952858,7195,13.9999997615,3.5,3.5999999046,3.2999999523,3.5999999046
1645952859,7196,13.7000000477,3.2999999523,3.5,3.4000000954,3.5
1645952860,7197,13.7000000477,3.2999999523,3.5,3.4000000954,3.5
1645952861,7198,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952862,7199,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952863,7200,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952864,7201,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952865,7202,14.5000002385,3.2999999523,3.4000000954,3.4000000954,4.4000000954
1645952866,7203,14.5000002385,3.2999999523,3.4000000954,3.4000000954,4.4000000954
1645952867,7204,13.7000000477,3.5,3.2999999523,3.4000000954,3.5
1645952868,7205,13.7000000477,3.5,3.2999999523,3.4000000954,3.5
1645952869,7206,13.7000000477,3.5,3.2999999523,3.4000000954,3.5
1645952870,7207,14,3.4000000954,3.5999999046,3.5,3.5
1645952871,7208,14.0999999046,3.4000000954,3.5999999046,3.5,3.5999999046
1645952872,7209,14.0999999046,3.4000000954,3.5999999046,3.5,3.5999999046
1645952873,7210,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952874,7211,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952875,7212,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952876,7213,13.7000000477,3.5,3.4000000954,3.2999999523,3.5
1645952877,7214,13.7000000477,3.5,3.4000000954,3.2999999523,3.5
1645952878,7215,14.3000001908,3.4000000954,3.5,3.9000000954,3.5
1645952879,7216,14.3000001908,3.4000000954,3.5,3.9000000954,3.5
1645952880,7217,14.3000001908,3.4000000954,3.5,3.9000000954,3.5
1645952881,7218,13.7999999523,3.2999999523,3.5999999046,3.5,3.4000000954
1645952882,7219,13.7999999523,3.2999999523,3.5999999046,3.5,3.4000000954
1645952883,7220,13.7999999523,3.2999999523,3.5999999046,3.5,3.4000000954
1645952884,7221,13.7999999523,3.2999999523,3.5999999046,3.5,3.4000000954
1645952885,7222,13.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2999999523
