timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1644466441, ,5.3000001907,3.4000000954,3.2999999523,3.2999999523,3.2999999523,6.1999998093,3.4000000954,3.4000000954,3.5,3.4000000954,3,3.5999999046
1644466442, ,4.9000000954,3.2999999523,3.2999999523,3.2999999523,3.2999999523,6.1999998093,3.4000000954,3.4000000954,3.5,3.4000000954,3,3.5999999046
1644466443, ,4.9000000954,3.2999999523,3,3.2000000477,3.4000000954,4.6999998093,3.5,3.4000000954,3.5,3.4000000954,3,3.5999999046
1644466444, ,4.9000000954,3.2999999523,3,3.2000000477,3.4000000954,4.6999998093,3.5,3.4000000954,3.5999999046,3.4000000954,2.9000000954,3.4000000954
1644466445, ,4.9000000954,3.2999999523,3,3.2000000477,3.4000000954,4.6999998093,3.5,3.4000000954,3.5999999046,3.4000000954,2.9000000954,3.4000000954
1644466446, ,5.3000001907,3.5,3.0999999046,3.2999999523,3.2999999523,6.1999998093,3.5,3.2000000477,3.4000000954,3.4000000954,3.0999999046,3.4000000954
1644466447, ,5.3000001907,3.5,3.0999999046,3.2999999523,3.2999999523,6.1999998093,3.5,3.2000000477,3.4000000954,3.4000000954,3.0999999046,3.4000000954
1644466448, ,5.3000001907,3.5,3.0999999046,3.2999999523,3.2999999523,6.1999998093,3.5,3.2000000477,3.4000000954,3.4000000954,3.0999999046,3.5
1644466449, ,5.3000001907,3.5,3.0999999046,3.2999999523,3.2999999523,6.1999998093,3.5,3.2000000477,3.4000000954,3.4000000954,3.0999999046,3.5
1644466450, ,5.1999998093,3.2999999523,3,3.4000000954,3.4000000954,4.9000000954,3.2999999523,3.5999999046,3.5,3.2999999523,3.0999999046,3.5
1644466451, ,5.1999998093,3.2999999523,3,3.4000000954,3.4000000954,4.9000000954,3.2999999523,3.5999999046,3.5,3.2999999523,3.4000000954,3.4000000954
1644466452, ,5.1999998093,3.2999999523,3,3.4000000954,3.4000000954,4.9000000954,3.2999999523,3.5999999046,3.5,3.2999999523,3.4000000954,3.4000000954
1644466453, ,5.1999998093,3.4000000954,3.0999999046,3.2999999523,3.4000000954,4.9000000954,3.5999999046,3.5,3.5999999046,3.4000000954,3.2000000477,3.7000000477
1644466454, ,5.1999998093,3.4000000954,3.0999999046,3.2999999523,3.4000000954,4.9000000954,3.5999999046,3.5,3.5999999046,3.4000000954,3.2000000477,3.7000000477
1644466455, ,5.1999998093,3.4000000954,3.0999999046,3.2999999523,3.4000000954,4.9000000954,3.5999999046,3.5,3.5999999046,3.4000000954,3.2000000477,3.7000000477
1644466456, ,5.1999998093,3.4000000954,3.2000000477,3.4000000954,3.2999999523,5,3.4000000954,3.4000000954,3.7999999523,3.4000000954,3.2000000477,3.7000000477
1644466457, ,5.1999998093,3.4000000954,3.2000000477,3.4000000954,3.2999999523,5,3.4000000954,3.4000000954,3.7999999523,3.2999999523,3.4000000954,3.9000000954
1644466458, ,5.1999998093,3.4000000954,3.2000000477,3.4000000954,3.2999999523,5,3.4000000954,3.4000000954,3.7999999523,3.2999999523,3.4000000954,3.9000000954
1644466459, ,5.1999998093,3.2999999523,3.2000000477,3.2999999523,3.5999999046,5,3.4000000954,3.4000000954,3.7999999523,3.2999999523,3.4000000954,3.9000000954
1644466460, ,5.1999998093,3.2999999523,3.2000000477,3.2999999523,3.5999999046,5,3.5,3.4000000954,4.0999999046,3.4000000954,2.9000000954,3.4000000954
1644466461, ,5.1999998093,3.2999999523,3.2000000477,3.2999999523,3.5999999046,5,3.5,3.4000000954,4.0999999046,3.4000000954,2.9000000954,3.4000000954
1644466462, ,5.1999998093,3.4000000954,3.0999999046,3.7000000477,3.7000000477,5.0999999046,3.5999999046,3.4000000954,4.0999999046,3.4000000954,2.9000000954,3.4000000954
1644466463, ,5.1999998093,3.4000000954,3.0999999046,3.7000000477,3.7000000477,5.0999999046,3.5999999046,3.4000000954,3.7000000477,3.5,2.9000000954,3.0999999046
1644466464, ,5.1999998093,3.4000000954,3.0999999046,3.7000000477,3.7000000477,5.0999999046,3.5999999046,3.4000000954,3.7000000477,3.5,2.9000000954,3.0999999046
1644466465, ,5.0999999046,3.4000000954,3.4000000954,3.5,3.2999999523,6.0999999046,3.4000000954,3.4000000954,3.5,3.2999999523,3,3.0999999046
1644466466, ,5.0999999046,3.4000000954,3.4000000954,3.5,3.2999999523,6.0999999046,3.4000000954,3.4000000954,3.5,3.2999999523,3,3.0999999046
1644466467, ,5.1999998093,4,3.0999999046,3.2999999523,3.2999999523,6.0999999046,3.4000000954,3.4000000954,3.5,3.2999999523,3,3.0999999046
1644466468, ,5.1999998093,4,3.0999999046,3.2999999523,3.4000000954,6,3.4000000954,3.4000000954,4,3.5,2.9000000954,3.2999999523
1644466469, ,5.1999998093,4,3.0999999046,3.2999999523,3.4000000954,6,3.4000000954,3.4000000954,4,3.5,2.9000000954,3.2999999523
