timestamp,p1,p2,p3,p4,p5,p6,p9,p10,p11,p12,p13,p14,Total_Energy
timestamp,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112,Total_Energy
1646029544,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5999999046,3.5,3.4000000954,3.4000000954,3.5,3.2000000477,3.5,41.1000003816
1646029545,3.5,3.5999999046,3.7000000477,3.5,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.5,3.2000000477,3.5,41.6000001431
1646029546,3.5,3.5999999046,3.7000000477,3.5,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,3.5,3.2000000477,3.5,41.5
1646029547,3.5,3.5999999046,3.7000000477,3.5,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,3.5,3.2000000477,3.5,41.5
1646029548,3.5,3.5999999046,3.7000000477,3.5,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,3.4000000954,3.0999999046,3.2999999523,41.0999999046
1646029549,3.2000000477,3.5999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.4000000954,3.0999999046,3.2999999523,40.1999998092
1646029550,3.2000000477,3.5999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.4000000954,40.5999999046
1646029551,3.2999999523,3.2999999523,3.2999999523,3.5,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.4000000954,40.3999998569
1646029552,3.2999999523,3.2999999523,3.2999999523,3.5,3.2999999523,3.5,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.4000000954,40.5999999046
1646029553,3.2999999523,3.5,3.4000000954,3.5,3.2999999523,3.5,3.2999999523,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,40.7999999523
1646029554,3.2999999523,3.5,3.4000000954,3.5,3.2999999523,3.5,3.2999999523,3.2999999523,3.5,3.2999999523,3.4000000954,3.5,40.7999999523
1646029555,3.2999999523,3.5,3.4000000954,3.7000000477,3.4000000954,3.5,3.2000000477,3.4000000954,3.7999999523,3.4000000954,3.2999999523,3.5,41.4000003339
1646029556,3.2999999523,3.5,3.4000000954,3.7000000477,3.4000000954,3.5,3.2000000477,3.4000000954,3.7999999523,3.4000000954,3.2999999523,3.5,41.4000003339
1646029557,3.4000000954,3.5,3.2999999523,3.5,3.2999999523,3.5,3.2000000477,3.4000000954,3.7999999523,3.4000000954,3.2999999523,3.5,41.1000001431
1646029558,3.4000000954,3.5,3.2999999523,3.5,3.2999999523,3.5,3.2000000477,3.4000000954,3.7999999523,3.4000000954,3.2999999523,3.5,41.1000001431
1646029559,3.4000000954,3.5,3.2999999523,3.5,3.2999999523,3.5,3.2999999523,3.4000000954,4,3.4000000954,3.2999999523,3.4000000954,41.3000001908
1646029560,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,4,3.4000000954,3.2999999523,3.4000000954,41.4000005724
1646029561,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.4000000954,4,3.4000000954,3.2999999523,3.4000000954,41.4000005724
1646029562,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.7999999523,3.2999999523,3.2999999523,3.5,41.3000001908
1646029563,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5,3.5,3.5,3.2999999523,3.7999999523,3.2999999523,3.2999999523,3.5,41.2000000477
1646029564,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.5999999046,41.1000003816
1646029565,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.5999999046,41.1000003816
1646029566,3.4000000954,3.5,3.7999999523,3.5999999046,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.5999999046,41.9000000954
1646029567,3.4000000954,3.5,3.7999999523,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.2999999523,3.5999999046,41.7999999523
1646029568,3.4000000954,3.5,3.7999999523,3.5999999046,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.2000000477,3.4000000954,41.5000002385
1646029569,3.2000000477,3.5999999046,3.5,3.5,3.2999999523,3.5,3.5,3.2000000477,3.5999999046,3.4000000954,3.2000000477,3.4000000954,40.9000000954
1646029570,3.2000000477,3.5999999046,3.5,3.5,3.2999999523,3.5,3.5,3.2000000477,3.5999999046,3.4000000954,3.2999999523,4.0999999046,41.6999998092
1646029571,3.2999999523,3.4000000954,3.5,3.5,3.2999999523,3.5,3.5,3.2000000477,3.5999999046,3.4000000954,3.2999999523,4.0999999046,41.5999999046
1646029572,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5,3.0999999046,3.4000000954,3.2999999523,3.2999999523,4.0999999046,40.9000000954
1646029573,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5,3.0999999046,3.4000000954,3.2999999523,3.2999999523,3.5999999046,40.4000000954
1646029574,3.5,3.4000000954,3.2000000477,3.4000000954,3.4000000954,3.2999999523,3.5,3.0999999046,3.4000000954,3.2999999523,3.2999999523,3.5999999046,40.4000000954
1646029575,3.5,3.4000000954,3.2000000477,3.5,3.4000000954,3.5,3.5,3.0999999046,3.4000000954,3.2999999523,3.2999999523,3.5999999046,40.7000000477
