Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110
1646049680,3741,34.1000001431,3.7999999523,3.2999999523,3.2999999523,3.4000000954,3.5,3.5,3.2000000477,3.2000000477,3.4000000954,3.5
1646049681,3742,34.2000002862,3.5,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2000000477,3.2000000477,3.4000000954,3.5
1646049682,3743,34.2000002862,3.5,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2000000477,3.2000000477,3.4000000954,3.5
1646049683,3744,34.3000004293,3.5,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.2000000477
1646049684,3745,34.1000003816,3.5,3.5,3.7000000477,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2000000477
1646049685,3746,34.3000001908,3.5,3.5,3.7000000477,3.4000000954,3.2999999523,3.2999999523,3.5,3.2000000477,3.5,3.4000000954
1646049686,3747,34.3000001908,3.5,3.5,3.7000000477,3.4000000954,3.2999999523,3.2999999523,3.5,3.2000000477,3.5,3.4000000954
1646049687,3748,33.9000003339,3.2000000477,3.5,3.4000000954,3.5,3.4000000954,3.2999999523,3.5,3.2000000477,3.5,3.4000000954
1646049688,3749,34.0000002385,3.2000000477,3.5,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954,3.5
1646049689,3750,34.0000002385,3.2000000477,3.5,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954,3.5
1646049690,3751,34.5,3.5,3.5999999046,3.2999999523,3.4000000954,3.7000000477,3.5,3.2999999523,3.2999999523,3.4000000954,3.5
1646049691,3752,34.6000001431,3.5,3.5999999046,3.2999999523,3.4000000954,3.7000000477,3.5,3.4000000954,3.2999999523,3.4000000954,3.5
1646049692,3753,34.6000001431,3.5,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.5999999046,3.4000000954
1646049693,3754,34.6000001431,3.5,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.5999999046,3.4000000954
1646049694,3755,34.5,3.5,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5999999046,3.5,3.2999999523,3.5,3.4000000954
1646049695,3756,34.0999996661,3.2999999523,3.5999999046,3.5,3.2999999523,3.2999999523,3.5,3.5,3.2999999523,3.5,3.2999999523
1646049696,3757,34.0999996661,3.2999999523,3.5999999046,3.5,3.2999999523,3.2999999523,3.5,3.5,3.2999999523,3.5,3.2999999523
1646049697,3758,33.9999997615,3.2999999523,3.5999999046,3.5,3.2999999523,3.2999999523,3.5,3.4000000954,3.2000000477,3.5999999046,3.2999999523
1646049698,3759,33.9999997615,3.2999999523,3.5999999046,3.5,3.2999999523,3.2999999523,3.5,3.4000000954,3.2000000477,3.5999999046,3.2999999523
1646049699,3760,34.2999999523,3.2999999523,3.5,3.5,3.5,3.5,3.5,3.4000000954,3.2000000477,3.5999999046,3.2999999523
1646049700,3761,34.2000000477,3.2999999523,3.5,3.5,3.5,3.5,3.5,3.2999999523,3.2000000477,3.5,3.4000000954
1646049701,3762,34.4000000954,3.4000000954,3.5999999046,3.5,3.5,3.5,3.5,3.2999999523,3.2000000477,3.5,3.4000000954
1646049702,3763,34.2000002862,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.5
