Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102
1645846532,398,11.2999997139,5.6999998093,5.5999999046
1645846533,399,12.6999998092,7.0999999046,5.5999999046
1645846534,400,12.6999998092,7.0999999046,5.5999999046
1645846535,401,12.6999998092,7.0999999046,5.5999999046
1645846536,402,13.5,7.1999998093,6.3000001907
1645846537,403,13.5,7.1999998093,6.3000001907
1645846538,404,12.4000000954,7,5.4000000954
1645846539,405,12.4000000954,7,5.4000000954
1645846540,406,12.4000000954,7,5.4000000954
1645846541,407,12.7000002861,6.9000000954,5.8000001907
1645846542,408,12.7000002861,6.9000000954,5.8000001907
1645846543,409,12.7000002861,6.9000000954,5.8000001907
1645846544,410,12.6000003814,6.8000001907,5.8000001907
1645846545,411,12.4000000953,6.8000001907,5.5999999046
1645846546,412,12.4000000953,6.8000001907,5.5999999046
1645846547,413,11.5999999047,5.9000000954,5.6999998093
1645846548,414,11.5999999047,5.9000000954,5.6999998093
1645846549,415,11.5999999047,5.9000000954,5.6999998093
1645846550,416,12.6999998092,7.0999999046,5.5999999046
1645846551,417,12.6999998092,7.0999999046,5.5999999046
1645846552,418,13,7.6999998093,5.3000001907
1645846553,419,13,7.6999998093,5.3000001907
1645846554,420,13,7.6999998093,5.3000001907
1645846555,421,13,7.6999998093,5.3000001907
1645846556,422,12.4000000954,6.9000000954,5.5
1645846557,423,12.4000000954,6.9000000954,5.5
1645846558,424,12.4000000954,6.9000000954,5.5
1645846559,425,11.7999997139,6.5999999046,5.1999998093
1645846560,426,11.7999997139,6.5999999046,5.1999998093
1645846561,427,11.7999997139,6.5999999046,5.1999998093
1645846562,428,12.5999999046,7.0999999046,5.5
1645846563,429,12.5999999046,7.0999999046,5.5
1645846564,430,12.3000001907,6.8000001907,5.5
1645846565,431,12.1000003814,6.8000001907,5.3000001907
1645846566,432,12.1000003814,6.8000001907,5.3000001907
1645846567,433,11.7999997139,6.1999998093,5.5999999046
1645846568,434,11.7999997139,6.1999998093,5.5999999046
1645846569,435,12.5999999047,6.4000000954,6.1999998093
1645846570,436,12.5999999047,6.4000000954,6.1999998093
1645846571,437,12.5999999047,6.4000000954,6.1999998093
1645846572,438,12.5999999047,6.4000000954,6.1999998093
1645846573,439,12.5999999046,7,5.5999999046
1645846574,440,12.5999999046,7,5.5999999046
1645846575,441,12.5999999046,7,5.5999999046
1645846576,442,11.9000000953,6.5999999046,5.3000001907
